name,id,base64,undergraduate_enrollment,location,total_professors,total_reviews,date_range,file_location
Princeton University,School-780,U2Nob29zLTc4MA==,5671.0,"Princeton, NJ",301.0,900.0,"(Timestamp('2001-05-16 23:01:07'), Timestamp('2025-01-23 03:21:06'))",RateMyProfAnalysis/T100Reviews/Universities/Princeton_University
Massachusetts Institute of Technology,School-580,U2Nob29zLTU4MA==,4576.0,"Cambridge, MA",416.0,1528.0,"(Timestamp('2001-12-04 19:36:28'), Timestamp('2025-01-26 15:56:07'))",RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology
Harvard University,School-399,U2Nob29zLTM5OQ==,7110.0,"Cambridge, MA",608.0,2064.0,"(Timestamp('2001-12-13 00:13:14'), Timestamp('2025-01-27 09:34:45'))",RateMyProfAnalysis/T100Reviews/Universities/Harvard_University
Stanford University,School-953,U2Nob29zLTk1Mw==,8054.0,"Stanford, CA",607.0,2368.0,"(Timestamp('2000-06-10 02:57:57'), Timestamp('2025-01-21 15:45:27'))",RateMyProfAnalysis/T100Reviews/Universities/Stanford_University
Yale University,School-1222,U2Nob29zLTEyMjI=,6818.0,"New Haven, CT",440.0,1230.0,"(Timestamp('2002-10-24 16:51:09'), Timestamp('2025-01-27 12:11:41'))",RateMyProfAnalysis/T100Reviews/Universities/Yale_University
California Institute of Technology,School-148,U2Nob29zLTE0OA==,1023.0,"Pasadena, CA",85.0,287.0,"(Timestamp('2002-08-20 15:23:20'), Timestamp('2025-01-22 06:34:04'))",RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology
Duke University,School-1350,U2Nob29zLTEzNTA=,6488.0,"Durham, NC",2723.0,26681.0,"(Timestamp('2002-04-10 20:00:34'), Timestamp('2025-01-27 18:40:08'))",RateMyProfAnalysis/T100Reviews/Universities/Duke_University
Johns Hopkins University,School-464,U2Nob29zLTQ2NA==,6090.0,"Baltimore, MD",999.0,4463.0,"(Timestamp('2001-02-03 16:05:38'), Timestamp('2025-01-24 21:54:53'))",RateMyProfAnalysis/T100Reviews/Universities/Johns_Hopkins_University
Northwestern University,School-709,U2Nob29zLTcwOQ==,8846.0,"Evanston, IL",429.0,1061.0,"(Timestamp('2003-02-18 00:56:49'), Timestamp('2025-01-26 07:04:03'))",RateMyProfAnalysis/T100Reviews/Universities/Northwestern_University
University of Pennsylvania,School-1275,U2Nob29zLTEyNzU=,9995.0,"Philadelphia, PA",736.0,2111.0,"(Timestamp('2001-04-24 00:58:19'), Timestamp('2025-01-23 15:05:40'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania
Cornell University,School-298,U2Nob29zLTI5OA==,16071.0,"Ithaca, NY",2893.0,29360.0,"(Timestamp('1999-12-10 00:00:00'), Timestamp('2025-01-27 18:30:07'))",RateMyProfAnalysis/T100Reviews/Universities/Cornell_University
University of Chicago,School-1085,U2Nob29zLTEwODU=,7489.0,"Chicago, IL",531.0,1705.0,"(Timestamp('2002-08-28 19:27:40'), Timestamp('2025-01-13 00:17:28'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_Chicago
Brown University,School-137,U2Nob29zLTEzNw==,7741.0,"Providence, RI",505.0,2354.0,"(Timestamp('2001-07-14 16:40:36'), Timestamp('2025-01-25 08:21:43'))",RateMyProfAnalysis/T100Reviews/Universities/Brown_University
Columbia University,School-278,U2Nob29zLTI3OA==,8902.0,"New York, NY",972.0,4267.0,"(Timestamp('2001-12-19 13:17:18'), Timestamp('2025-01-27 21:44:54'))",RateMyProfAnalysis/T100Reviews/Universities/Columbia_University
Dartmouth College,School-1339,U2Nob29zLTEzMzk=,4447.0,"Hanover, NH",235.0,462.0,"(Timestamp('2003-02-25 13:10:57'), Timestamp('2024-11-23 23:27:26'))",RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College
University of California--Los Angeles,School-1075,U2Nob29zLTEwNzU=,33040.0,"Los Angeles, CA",1432.0,5151.0,"(Timestamp('1999-10-18 00:00:00'), Timestamp('2025-01-23 22:01:03'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_California--Los_Angeles
"University of California, Berkeley",School-1072,U2Nob29zLTEwNzI=,33405.0,"Berkeley, CA",4246.0,52700.0,"(Timestamp('2001-05-13 20:41:10'), Timestamp('2025-01-28 00:17:59'))","RateMyProfAnalysis/T100Reviews/Universities/University_of_California,_Berkeley"
Rice University,School-799,U2Nob29zLTc5OQ==,4574.0,"Houston, TX",275.0,748.0,"(Timestamp('2003-02-19 00:06:43'), Timestamp('2025-01-20 23:22:52'))",RateMyProfAnalysis/T100Reviews/Universities/Rice_University
University of Notre Dame,School-1576,U2Nob29zLTE1NzY=,8968.0,"Notre Dame, IN",1221.0,4468.0,"(Timestamp('2002-04-16 12:20:04'), Timestamp('2025-01-27 04:10:41'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame
Vanderbilt University,School-4002,U2Nob29zLTQwMDI=,7152.0,"Nashville, TN",2329.0,31508.0,"(Timestamp('2003-01-08 21:38:52'), Timestamp('2025-01-28 00:13:59'))",RateMyProfAnalysis/T100Reviews/Universities/Vanderbilt_University
Carnegie Mellon University,School-181,U2Nob29zLTE4MQ==,7707.0,"Pittsburgh, PA",969.0,4810.0,"(Timestamp('1999-11-26 00:00:00'), Timestamp('2025-01-27 16:45:29'))",RateMyProfAnalysis/T100Reviews/Universities/Carnegie_Mellon_University
University of Michigan--Ann Arbor,School-1258,U2Nob29zLTEyNTg=,33730.0,"Ann Arbor, MI",5530.0,67498.0,"(Timestamp('2001-05-16 11:08:33'), Timestamp('2025-01-27 20:04:16'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_Michigan--Ann_Arbor
Washington University in St. Louis,School-1147,U2Nob29zLTExNDc=,8267.0,"St. Louis, MO",1884.0,15982.0,"(Timestamp('1999-11-17 00:00:00'), Timestamp('2025-01-28 02:28:51'))",RateMyProfAnalysis/T100Reviews/Universities/Washington_University_in_St._Louis
Emory University,School-340,U2Nob29zLTM0MA==,7359.0,"Atlanta, GA",1976.0,20242.0,"(Timestamp('2001-05-17 09:53:05'), Timestamp('2025-01-28 02:54:32'))",RateMyProfAnalysis/T100Reviews/Universities/Emory_University
Georgetown University,School-355,U2Nob29zLTM1NQ==,7968.0,"Washington, DC",2721.0,33528.0,"(Timestamp('2001-09-11 00:45:12'), Timestamp('2025-01-27 20:07:11'))",RateMyProfAnalysis/T100Reviews/Universities/Georgetown_University
University of Virginia,School-1277,U2Nob29zLTEyNzc=,17618.0,"Charlottesville, VA",2098.0,17227.0,"(Timestamp('2000-11-12 17:16:10'), Timestamp('2025-01-27 00:47:59'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_Virginia
University of North Carolina--Chapel Hill,School-1232,U2Nob29zLTEyMzI=,20880.0,"Chapel Hill, NC",4382.0,56251.0,"(Timestamp('2000-02-08 15:49:49'), Timestamp('2025-01-28 04:32:55'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_North_Carolina--Chapel_Hill
University of Southern California,School-1381,U2Nob29zLTEzODE=,21023.0,"Los Angeles, CA",5134.0,61036.0,"(Timestamp('2001-03-14 00:31:38'), Timestamp('2025-01-28 07:23:26'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_Southern_California
"University of California, San Diego",School-1079,U2Nob29zLTEwNzk=,33792.0,"La Jolla, CA",3608.0,58814.0,"(Timestamp('2001-05-16 17:10:27'), Timestamp('2025-01-28 12:58:44'))","RateMyProfAnalysis/T100Reviews/Universities/University_of_California,_San_Diego"
New York University,School-675,U2Nob29zLTY3NQ==,29760.0,"New York, NY",6047.0,57186.0,"(Timestamp('2001-12-20 19:22:07'), Timestamp('2025-01-28 15:35:26'))",RateMyProfAnalysis/T100Reviews/Universities/New_York_University
University of Florida,School-1100,U2Nob29zLTExMDA=,34924.0,"Gainesville, FL",5970.0,73939.0,"(Timestamp('2001-05-18 12:39:54'), Timestamp('2025-01-28 04:16:46'))",RateMyProfAnalysis/T100Reviews/Universities/University_of_Florida
