id,name,department,University,University_ID,reviews_count,file_location,date_range
29716,Barrett Hazeltine,Engineering,Brown University,School-137,58,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2002-02-06 17:48:06'), Timestamp('2024-05-13 08:34:46'))"
39579,Matthew Zimmt,Science,Brown University,School-137,45,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2002-03-24 14:14:18'), Timestamp('2024-08-15 02:23:22'))"
15394,William Beeman,Anthropology,Brown University,School-137,38,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2001-09-26 18:36:20'), Timestamp('2010-06-02 03:51:16'))"
29702,Rachel Friedberg,Economics,Brown University,School-137,36,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2002-02-06 17:39:18'), Timestamp('2024-12-30 23:13:15'))"
179559,Wendy Schiller,Political Science,Brown University,School-137,33,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2003-04-04 01:59:39'), Timestamp('2022-12-17 17:38:59'))"
40308,John Tomasi,Political Science,Brown University,School-137,33,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2003-02-17 22:51:25'), Timestamp('2017-06-10 05:22:35'))"
153753,James Morone,Political Science,Brown University,School-137,33,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2003-02-28 17:14:13'), Timestamp('2023-05-08 12:42:25'))"
40481,Brian Hayden,Psychology,Brown University,School-137,29,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2003-03-05 20:03:29'), Timestamp('2015-12-29 13:11:10'))"
188793,Daniel Stupar,Fine Arts,Brown University,School-137,28,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2003-04-15 00:59:38'), Timestamp('2024-11-10 20:23:48'))"
160147,Dietrich Neumann,Architecture,Brown University,School-137,29,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2003-03-06 10:05:58'), Timestamp('2024-12-30 23:17:24'))"
160401,John Stein,Biology,Brown University,School-137,27,RateMyProfAnalysis/T100Reviews/Universities/Brown_University,"(Timestamp('2003-03-06 13:51:15'), Timestamp('2024-07-23 21:39:23'))"
