id,name,department,University,University_ID,reviews_count,file_location,date_range
1178693,Rodney McKay,Physics,California Institute of Technology,School-148,36,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2008-09-15 15:28:55'), Timestamp('2017-03-14 11:01:32'))"
1538116,Sheldon Cooper,Physics,California Institute of Technology,School-148,31,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2012-05-07 16:16:29'), Timestamp('2025-01-22 06:34:04'))"
349680,Nate Lewis,Chemistry,California Institute of Technology,School-148,22,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2004-02-05 23:00:38'), Timestamp('2023-10-21 01:08:18'))"
90542,Henry Lester,Science,California Institute of Technology,School-148,13,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2002-12-02 18:15:04'), Timestamp('2012-04-06 22:49:45'))"
476502,Ali Hajimiri,Engineering,California Institute of Technology,School-148,13,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2004-10-21 16:27:44'), Timestamp('2024-01-13 00:16:08'))"
174347,Yaser Abu-Mostafa,Computer Science,California Institute of Technology,School-148,10,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2003-03-28 07:43:48'), Timestamp('2017-12-17 13:30:23'))"
174350,Niles Pierce,Mathematics,California Institute of Technology,School-148,10,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2003-03-28 07:50:57'), Timestamp('2013-10-10 14:40:55'))"
174351,Glen George,Computer Science,California Institute of Technology,School-148,9,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2003-03-28 07:53:01'), Timestamp('2024-11-04 20:19:11'))"
349673,Sterl Phinney,Physics,California Institute of Technology,School-148,8,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2004-02-05 22:45:51'), Timestamp('2023-10-21 00:52:08'))"
60323,David Politzer,Science,California Institute of Technology,School-148,6,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2002-08-20 15:23:20'), Timestamp('2014-10-12 19:51:32'))"
1763797,Rajesh Koothrappali,Astronomy,California Institute of Technology,School-148,6,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2012-12-02 01:38:37'), Timestamp('2019-06-24 19:23:08'))"
182592,Douglas Rees,Chemistry,California Institute of Technology,School-148,5,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2003-04-08 01:37:29'), Timestamp('2013-06-01 00:29:05'))"
839369,Mike Brown,Geology,California Institute of Technology,School-148,5,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2006-04-28 03:01:36'), Timestamp('2015-06-07 08:51:05'))"
648329,Alan Weinstein,Physics,California Institute of Technology,School-148,5,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2005-08-02 19:15:59'), Timestamp('2023-10-21 01:02:00'))"
1824042,Leonard Hofstadter,Physics,California Institute of Technology,School-148,5,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2013-08-20 11:55:49'), Timestamp('2022-10-13 12:17:13'))"
310289,Shuki Bruck,Computer Science,California Institute of Technology,School-148,5,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2003-12-04 21:40:30'), Timestamp('2013-10-10 14:35:52'))"
1695459,Bobby Shirani,Engineering,California Institute of Technology,School-148,5,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2012-02-22 15:44:41'), Timestamp('2015-06-26 04:45:01'))"
427054,Charles Plott,Economics,California Institute of Technology,School-148,5,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2004-06-24 17:21:50'), Timestamp('2010-03-23 14:43:07'))"
429644,Christof Koch,Science,California Institute of Technology,School-148,5,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2004-07-02 13:00:49'), Timestamp('2009-10-25 04:33:21'))"
910474,Chris Chambers,Culinary Arts,California Institute of Technology,School-148,4,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2006-11-03 22:12:00'), Timestamp('2011-12-07 18:18:45'))"
1970873,nets katz,Mathematics,California Institute of Technology,School-148,4,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2015-09-07 06:30:28'), Timestamp('2023-10-21 01:07:07'))"
260490,Zhen-Gang Wang,Engineering,California Institute of Technology,School-148,4,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2003-10-13 12:05:11'), Timestamp('2017-10-03 02:51:52'))"
1763822,Howard Wolowitz,Engineering,California Institute of Technology,School-148,3,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2013-08-23 15:57:02'), Timestamp('2018-06-01 19:22:56'))"
628171,Brian Stoltz,Chemistry,California Institute of Technology,School-148,3,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2005-06-01 22:23:34'), Timestamp('2019-05-31 02:17:25'))"
1037474,Dmitrios Antsos,Engineering,California Institute of Technology,School-148,3,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2007-10-12 02:14:11'), Timestamp('2022-11-27 18:33:23'))"
628168,Dominic Murphy,Philosophy,California Institute of Technology,School-148,3,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2005-06-01 22:19:16'), Timestamp('2014-12-11 13:54:48'))"
592357,Kathryn Leonard,Mathematics,California Institute of Technology,School-148,3,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2005-04-06 19:02:28'), Timestamp('2012-03-19 15:06:52'))"
1164123,S. George Djorgovski,Astronomy,California Institute of Technology,School-148,3,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2015-01-26 16:35:44'), Timestamp('2020-08-24 19:29:06'))"
756603,Larry Fleinhardt,Physics,California Institute of Technology,School-148,3,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2005-11-14 21:03:53'), Timestamp('2014-08-05 13:51:22'))"
634591,Seymour Benzer,Biology,California Institute of Technology,School-148,2,RateMyProfAnalysis/T100Reviews/Universities/California_Institute_of_Technology,"(Timestamp('2005-06-21 13:46:51'), Timestamp('2009-07-20 12:08:08'))"
