id,name,department,University,University_ID,reviews_count,file_location,date_range
1482580,Ted Mosby,Architecture,Columbia University,School-278,1115,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2011-12-14 23:23:48'), Timestamp('2025-01-24 11:47:25'))"
838456,Umber Hanlon,Architecture,Columbia University,School-278,692,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2006-04-26 16:34:17'), Timestamp('2024-12-14 21:17:37'))"
2775648,Yongwhan Lim,Computer Science,Columbia University,School-278,116,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2022-04-22 00:30:50'), Timestamp('2025-01-27 13:27:07'))"
1913851,Colin Mullins,Arts & Humanities,Columbia University,School-278,32,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2014-12-01 20:16:57'), Timestamp('2015-12-14 12:24:41'))"
1084340,Christina Araujo,Nursing,Columbia University,School-278,29,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2008-03-18 23:35:34'), Timestamp('2015-10-12 03:16:18'))"
2028091,Claire  Catenaccio,Classics,Columbia University,School-278,28,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2015-07-16 14:01:24'), Timestamp('2024-04-30 16:40:27'))"
2838376,Alberto Botter,Mathematics,Columbia University,School-278,27,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2022-11-30 15:19:07'), Timestamp('2025-01-01 23:53:18'))"
534980,Andrea Bubula,Economics,Columbia University,School-278,25,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2004-12-15 14:14:47'), Timestamp('2024-05-01 16:52:38'))"
718899,P Conti,Writing,Columbia University,School-278,24,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2005-10-06 19:16:05'), Timestamp('2014-10-16 13:39:06'))"
2192193,David Siegel,International Studies,Columbia University,School-278,24,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2016-11-15 15:57:28'), Timestamp('2018-01-06 09:58:02'))"
174751,Nicholas De Genova,Anthropology,Columbia University,School-278,24,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2003-03-28 16:51:20'), Timestamp('2011-03-13 17:58:38'))"
1912223,Florina Altshiler,Law,Columbia University,School-278,24,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2014-07-27 00:03:06'), Timestamp('2019-08-15 15:56:40'))"
398827,Joseph Massad,Languages,Columbia University,School-278,23,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2004-04-30 02:05:57'), Timestamp('2024-12-22 14:29:08'))"
523923,John Robertson,Social Work,Columbia University,School-278,22,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2004-12-07 10:31:40'), Timestamp('2023-02-14 14:38:06'))"
2226063,Sally Aboelela,Nursing,Columbia University,School-278,21,RateMyProfAnalysis/T100Reviews/Universities/Columbia_University,"(Timestamp('2017-01-14 19:53:53'), Timestamp('2025-01-22 03:17:01'))"
