id,name,department,University,University_ID,reviews_count,file_location,date_range
1100359,Karen Gocsik,Writing,Dartmouth College,School-1339,25,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2008-04-08 01:53:53'), Timestamp('2014-04-24 21:19:11'))"
261485,Prasad Jayanti,Computer Science,Dartmouth College,School-1339,18,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2003-10-14 20:33:52'), Timestamp('2022-01-11 20:48:27'))"
741913,Meir Kohn,Economics,Dartmouth College,School-1339,15,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2006-04-14 18:37:10'), Timestamp('2018-08-24 22:34:27'))"
282419,Deborah Nichols,Anthropology,Dartmouth College,School-1339,11,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2003-11-11 13:59:47'), Timestamp('2017-02-12 14:59:58'))"
312215,Yale Cohen,Psychology,Dartmouth College,School-1339,10,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2003-12-06 18:12:58'), Timestamp('2008-09-01 18:27:01'))"
264228,Don Pease,Humanities,Dartmouth College,School-1339,10,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2003-10-19 22:38:35'), Timestamp('2022-07-26 19:17:09'))"
1742121,Lorenzo Torresani,Computer Science,Dartmouth College,School-1339,9,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2012-12-01 20:43:42'), Timestamp('2019-05-11 16:28:29'))"
423774,Thomas Luxon,English,Dartmouth College,School-1339,9,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2004-06-15 12:18:11'), Timestamp('2016-02-03 18:27:25'))"
925252,Aden Evens,English,Dartmouth College,School-1339,8,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2006-12-17 06:56:04'), Timestamp('2019-10-11 02:54:44'))"
501153,Douglass Moody,English,Dartmouth College,School-1339,7,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2004-11-16 16:09:33'), Timestamp('2017-11-16 01:20:31'))"
2021893,Michael Lurie,Classics,Dartmouth College,School-1339,7,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2016-03-04 12:48:10'), Timestamp('2020-04-23 18:33:38'))"
691630,Nancy Jay Crumbine,English,Dartmouth College,School-1339,7,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2011-10-13 12:52:38'), Timestamp('2022-01-13 01:05:35'))"
202458,Terry Osborne,English,Dartmouth College,School-1339,7,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2003-05-01 17:21:17'), Timestamp('2010-09-11 10:48:10'))"
1154925,Alexander Rimberg,Physics,Dartmouth College,School-1339,7,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2008-07-17 20:22:42'), Timestamp('2022-02-10 04:57:29'))"
24784,Laurence Davies,English,Dartmouth College,School-1339,6,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2003-02-26 17:32:02'), Timestamp('2018-02-07 16:10:25'))"
135010,Bill Kelley,Psychology,Dartmouth College,School-1339,6,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2004-05-23 20:47:41'), Timestamp('2014-04-15 21:04:39'))"
987155,Kamiar Abdi,Anthropology,Dartmouth College,School-1339,6,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2007-05-04 19:56:57'), Timestamp('2009-12-11 21:01:18'))"
691628,Jonathan Crewe,English,Dartmouth College,School-1339,6,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2006-05-12 11:35:18'), Timestamp('2013-10-07 16:19:34'))"
1328934,Hany Farid,Computer Science,Dartmouth College,School-1339,6,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2013-05-23 13:03:17'), Timestamp('2016-04-06 01:01:52'))"
665191,Misagh Parsa,Sociology,Dartmouth College,School-1339,6,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2005-09-09 13:32:37'), Timestamp('2010-06-07 18:21:45'))"
674827,Ronald Edsforth,History,Dartmouth College,School-1339,6,RateMyProfAnalysis/T100Reviews/Universities/Dartmouth_College,"(Timestamp('2005-11-17 18:21:35'), Timestamp('2015-09-02 11:51:40'))"
