id,name,department,University,University_ID,reviews_count,file_location,date_range
320446,David Malan,Computer Science,Harvard University,School-399,81,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-12-14 21:08:59'), Timestamp('2025-01-27 09:34:45'))"
1406187,Remo Airaldi,Theater,Harvard University,School-399,50,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2010-02-06 22:52:51'), Timestamp('2025-01-18 06:22:59'))"
1151909,Sri Mukherjee,Writing,Harvard University,School-399,38,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2008-07-03 21:40:33'), Timestamp('2024-12-18 16:13:21'))"
144541,Marjorie Garber,English,Harvard University,School-399,33,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-02-22 08:09:53'), Timestamp('2024-11-15 07:27:02'))"
627131,Paul Bamberg,Mathematics,Harvard University,School-399,33,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2005-05-30 18:52:13'), Timestamp('2022-05-13 13:50:16'))"
64019,Marc Hauser,Psychology,Harvard University,School-399,31,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2002-09-18 08:49:25'), Timestamp('2024-02-18 03:55:49'))"
59877,Robert Neugeboren,Economics,Harvard University,School-399,29,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-01-15 23:56:34'), Timestamp('2021-03-03 23:00:14'))"
558623,Geraldine Grimm,Writing,Harvard University,School-399,27,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2005-01-20 13:00:33'), Timestamp('2024-03-14 11:33:23'))"
76603,Ali Asani,Design,Harvard University,School-399,24,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-02-18 20:57:07'), Timestamp('2021-04-12 03:38:51'))"
1670330,Michael Miner,Government,Harvard University,School-399,23,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2011-12-16 21:20:47'), Timestamp('2024-10-24 12:49:40'))"
2445139,Greg Sabin,Management,Harvard University,School-399,23,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2018-12-16 03:52:40'), Timestamp('2022-06-24 16:04:26'))"
190494,Michael Sandel,Political Science,Harvard University,School-399,23,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-04-17 01:54:38'), Timestamp('2024-10-08 03:11:47'))"
1944365,Michael Parzen,Statistics,Harvard University,School-399,22,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2015-04-05 22:28:40'), Timestamp('2023-10-06 16:04:06'))"
190490,Elaine Scarry,English,Harvard University,School-399,21,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-04-17 01:50:20'), Timestamp('2012-03-18 07:37:51'))"
1712398,Jennifer Carr,Biology,Harvard University,School-399,21,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2012-06-27 07:03:57'), Timestamp('2021-04-25 21:57:10'))"
22094,Kyle Bates,Engineering,Harvard University,School-399,21,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2001-12-13 00:13:14'), Timestamp('2024-01-31 15:58:44'))"
176821,Martin Feldstein,Economics,Harvard University,School-399,20,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-03-31 23:29:30'), Timestamp('2022-04-11 13:05:48'))"
1620773,Bruno Sergi,Political Science,Harvard University,School-399,20,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2011-09-23 01:38:49'), Timestamp('2021-05-11 12:49:47'))"
365960,Theo Theoharis,Humanities,Harvard University,School-399,19,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2004-03-21 18:54:19'), Timestamp('2019-08-28 07:29:34'))"
1800030,Mona Weissmark,Psychology,Harvard University,School-399,19,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2013-03-01 16:07:49'), Timestamp('2023-12-27 02:45:16'))"
166251,Lawrence Buell,English,Harvard University,School-399,19,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-03-14 14:42:58'), Timestamp('2023-12-10 21:15:00'))"
1154223,Oliver Knill,Mathematics,Harvard University,School-399,18,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2010-07-24 18:51:04'), Timestamp('2024-01-09 10:34:09'))"
540333,Shelley Carson,Psychology,Harvard University,School-399,18,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2004-12-21 00:30:58'), Timestamp('2024-01-05 03:32:58'))"
202265,Leo Damrosch,English,Harvard University,School-399,17,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-05-01 15:22:58'), Timestamp('2018-07-25 20:33:09'))"
71536,Alan Dershowitz,Law,Harvard University,School-399,17,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-02-26 18:19:36'), Timestamp('2022-11-03 01:26:35'))"
166265,Phillip Fisher,English,Harvard University,School-399,17,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-03-14 15:01:03'), Timestamp('2017-04-16 22:16:26'))"
981373,Marlon Kuzmick,Writing,Harvard University,School-399,16,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2007-11-29 12:05:06'), Timestamp('2020-08-18 14:16:27'))"
22343,Melissa McDonald,English,Harvard University,School-399,16,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2001-12-14 13:11:25'), Timestamp('2021-02-24 21:28:57'))"
1073084,Joseph Blitzstein,Statistics,Harvard University,School-399,16,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2007-12-11 21:56:11'), Timestamp('2024-10-05 21:28:12'))"
2192391,Ryan Draft,Biology,Harvard University,School-399,16,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2016-11-29 20:44:49'), Timestamp('2024-11-28 01:47:14'))"
187527,Howard Georgi,Physics,Harvard University,School-399,15,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-04-12 23:17:03'), Timestamp('2010-05-13 01:20:20'))"
2379289,Jelani Nelson,Computer Science,Harvard University,School-399,14,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2018-06-23 12:54:31'), Timestamp('2024-04-25 02:06:13'))"
2340099,Max Krasnow,Psychology,Harvard University,School-399,14,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2019-05-22 21:30:52'), Timestamp('2024-10-26 01:03:22'))"
377596,Gregory Nagy,Classics,Harvard University,School-399,14,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2004-12-06 20:39:09'), Timestamp('2023-01-03 14:27:34'))"
627493,Gregory Mankiw,Economics,Harvard University,School-399,13,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2006-05-04 21:43:21'), Timestamp('2016-10-04 08:50:18'))"
567550,Jens Meierhenrich,Government,Harvard University,School-399,13,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2005-02-08 18:19:24'), Timestamp('2017-11-23 08:13:20'))"
481783,Jamil Mahuad,Law,Harvard University,School-399,13,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2009-03-19 22:50:11'), Timestamp('2022-01-11 04:08:24'))"
1169470,Logan McCarty,Chemistry,Harvard University,School-399,13,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2008-08-23 12:03:10'), Timestamp('2019-04-15 20:23:39'))"
221893,Ed Glaeser,Economics,Harvard University,School-399,13,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-06-14 23:23:49'), Timestamp('2022-04-01 19:22:14'))"
219327,Helen Vendler,English,Harvard University,School-399,12,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-06-05 17:02:05'), Timestamp('2016-10-13 16:57:20'))"
1456588,William Anderson,Biology,Harvard University,School-399,12,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2005-12-03 14:19:37'), Timestamp('2020-10-13 16:40:02'))"
722525,Andy Engelward,Mathematics,Harvard University,School-399,12,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2006-02-04 16:05:37'), Timestamp('2019-07-01 13:52:36'))"
1174380,Greg Tucci,Chemistry,Harvard University,School-399,12,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2008-10-15 10:49:35'), Timestamp('2024-08-05 22:21:02'))"
1728811,Sayyed Mohsen Fatemi,Psychology,Harvard University,School-399,12,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2012-10-31 12:09:08'), Timestamp('2024-09-29 13:07:19'))"
774048,Michael Mitzenmacher,Computer Science,Harvard University,School-399,12,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2007-04-11 13:09:21'), Timestamp('2021-04-07 00:07:35'))"
334471,Ellsworth Fersch,Psychology,Harvard University,School-399,12,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2004-02-05 16:25:51'), Timestamp('2019-07-12 10:45:53'))"
305403,Harry Lewis,Computer Science,Harvard University,School-399,12,RateMyProfAnalysis/T100Reviews/Universities/Harvard_University,"(Timestamp('2003-12-01 17:56:58'), Timestamp('2023-09-27 05:29:05'))"
