id,name,department,University,University_ID,reviews_count,file_location,date_range
103718,David Jerison,Mathematics,Massachusetts Institute of Technology,School-580,71,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2002-12-20 01:45:28'), Timestamp('2024-12-02 11:18:54'))"
1187925,Moe Win,Engineering,Massachusetts Institute of Technology,School-580,66,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2011-12-15 00:10:29'), Timestamp('2023-12-17 20:53:12'))"
800239,Gilbert Strang,Mathematics,Massachusetts Institute of Technology,School-580,66,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2004-04-06 19:08:37'), Timestamp('2023-08-21 17:42:02'))"
125151,Arthur Mattuck,Mathematics,Massachusetts Institute of Technology,School-580,55,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2003-02-11 02:16:44'), Timestamp('2022-06-04 17:32:49'))"
334553,Denis Auroux,Mathematics,Massachusetts Institute of Technology,School-580,54,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2004-04-26 14:55:10'), Timestamp('2021-09-12 17:51:42'))"
81483,Donald Sadoway,Engineering,Massachusetts Institute of Technology,School-580,43,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2002-11-14 15:05:56'), Timestamp('2021-02-08 04:18:26'))"
162394,Eric Lander,Biology,Massachusetts Institute of Technology,School-580,32,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2003-03-09 02:00:51'), Timestamp('2021-08-23 08:55:12'))"
409757,Peter Dourmashkin,Physics,Massachusetts Institute of Technology,School-580,32,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2004-05-15 17:15:46'), Timestamp('2025-01-15 17:25:42'))"
121092,Anant Agarwal,Engineering,Massachusetts Institute of Technology,School-580,27,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2003-10-29 12:18:26'), Timestamp('2017-03-04 18:33:33'))"
134389,Alar Toomre,Mathematics,Massachusetts Institute of Technology,School-580,22,RateMyProfAnalysis/T100Reviews/Universities/Massachusetts_Institute_of_Technology,"(Timestamp('2003-02-18 19:23:12'), Timestamp('2022-10-08 03:27:42'))"
