id,name,department,University,University_ID,reviews_count,file_location,date_range
141412,Zhiyong Gao,Mathematics,Rice University,School-799,27,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2003-02-20 16:30:09'), Timestamp('2024-12-17 12:46:41'))"
182001,J Tour,Science,Rice University,School-799,19,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2003-04-07 17:57:22'), Timestamp('2024-04-30 01:52:27'))"
2111513,Craig Considine,Sociology,Rice University,School-799,18,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2016-04-01 21:16:36'), Timestamp('2018-06-19 15:20:45'))"
136273,Mikki Hebl,Psychology,Rice University,School-799,18,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2003-06-24 18:04:02'), Timestamp('2020-11-28 17:46:47'))"
476772,Mike Gustin,Biology,Rice University,School-799,18,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2004-10-21 22:57:05'), Timestamp('2025-01-20 23:22:52'))"
223950,Frank Jones,Mathematics,Rice University,School-799,16,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2003-06-23 11:35:50'), Timestamp('2024-10-02 03:13:24'))"
1756087,Craig Ceccanti,Marketing,Rice University,School-799,16,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2012-10-22 12:55:35'), Timestamp('2014-02-13 20:27:45'))"
200788,Jill Carroll,Humanities,Rice University,School-799,14,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2003-04-29 23:24:32'), Timestamp('2017-10-03 23:29:28'))"
370239,John Zammito,History,Rice University,School-799,13,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2004-03-23 16:04:05'), Timestamp('2016-06-30 23:38:26'))"
1000189,Scott Rixner,Computer Science,Rice University,School-799,13,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2013-05-27 21:12:25'), Timestamp('2023-03-22 03:48:43'))"
851676,Maher Awad,Languages,Rice University,School-799,13,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2006-05-22 17:52:56'), Timestamp('2017-07-10 21:47:13'))"
1951481,Kyle Goyette,History,Rice University,School-799,13,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2014-11-30 14:27:19'), Timestamp('2016-03-13 19:40:41'))"
486669,Barry Dunning,Physics,Rice University,School-799,12,RateMyProfAnalysis/T100Reviews/Universities/Rice_University,"(Timestamp('2004-11-03 23:07:48'), Timestamp('2014-01-14 13:03:41'))"
