id,name,department,University,University_ID,reviews_count,file_location,date_range
2350272,Steven Roberts,Psychology,Stanford University,School-953,100,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2018-03-15 13:56:49'), Timestamp('2024-04-22 22:13:34'))"
203927,Mehran Sahami,Computer Science,Stanford University,School-953,94,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-05-03 16:00:13'), Timestamp('2023-05-04 10:22:48'))"
1307371,Kurt Carrasquilla,Business,Stanford University,School-953,84,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2012-04-24 17:44:38'), Timestamp('2024-08-16 15:56:57'))"
13890,Jerry Cain,Computer Science,Stanford University,School-953,54,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2002-01-27 01:01:22'), Timestamp('2023-04-06 04:34:23'))"
247367,Nick Parlante,Computer Science,Stanford University,School-953,44,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-09-09 05:10:54'), Timestamp('2025-01-21 15:45:27'))"
2406214,Jacob Vo,Humanities,Stanford University,School-953,36,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2018-09-28 05:32:02'), Timestamp('2021-03-21 18:24:49'))"
12872,Philip Zimbardo,Psychology,Stanford University,School-953,30,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2002-02-27 18:43:57'), Timestamp('2024-10-06 04:39:40'))"
216856,Mark Tendall,Economics,Stanford University,School-953,29,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-05-28 14:57:27'), Timestamp('2016-05-11 16:05:47'))"
503861,Chris Moylan,Chemistry,Stanford University,School-953,28,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2004-11-18 01:14:55'), Timestamp('2022-07-14 07:22:54'))"
362964,Robert Sapolsky,Biology,Stanford University,School-953,27,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2004-03-08 01:56:49'), Timestamp('2022-04-02 05:12:43'))"
1787737,Keith Schwarz,Computer Science,Stanford University,School-953,25,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2013-06-20 20:47:16'), Timestamp('2022-02-11 09:44:58'))"
545784,Andrew Ng,Computer Science,Stanford University,School-953,24,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2004-12-31 17:15:01'), Timestamp('2023-10-18 12:14:08'))"
363648,John McCaskey,History,Stanford University,School-953,24,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2004-03-12 00:48:10'), Timestamp('2012-03-31 02:07:08'))"
2504574,Mandeep Gill,Physics,Stanford University,School-953,24,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2019-07-08 19:00:10'), Timestamp('2024-12-12 05:17:32'))"
1474184,Ruth Starkman,Philosophy,Stanford University,School-953,23,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2010-09-02 18:37:40'), Timestamp('2023-07-03 06:37:10'))"
618987,Vadim Khayms,Engineering,Stanford University,School-953,24,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2005-05-13 05:39:57'), Timestamp('2025-01-08 21:00:51'))"
1832866,Chris Piech,Computer Science,Stanford University,School-953,23,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2013-08-15 19:04:39'), Timestamp('2023-11-01 23:01:07'))"
332959,Lanier Anderson,Philosophy,Stanford University,School-953,22,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2005-01-19 21:19:14'), Timestamp('2018-09-19 22:54:09'))"
203930,Eric Roberts,Computer Science,Stanford University,School-953,22,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-05-28 14:54:19'), Timestamp('2024-10-09 00:19:03'))"
183250,Julie Zelenski,Computer Science,Stanford University,School-953,22,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-04-08 18:56:44'), Timestamp('2023-01-07 20:58:55'))"
216855,Marcelo Clerici-Arias,Economics,Stanford University,School-953,21,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-05-28 14:56:53'), Timestamp('2015-07-22 12:31:04'))"
658957,Guadalupe Valdes,Education,Stanford University,School-953,20,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2005-11-30 02:07:45'), Timestamp('2023-10-12 17:44:23'))"
105632,Douglas Osheroff,Science,Stanford University,School-953,19,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2002-12-28 22:56:35'), Timestamp('2009-12-15 16:15:42'))"
134687,Dan Boneh,Computer Science,Stanford University,School-953,20,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-02-18 19:45:43'), Timestamp('2025-01-03 22:08:24'))"
204719,James Gross,Psychology,Stanford University,School-953,18,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-05-05 02:16:09'), Timestamp('2018-12-27 03:25:18'))"
137640,Joshua Landy,Languages,Stanford University,School-953,18,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-05-28 23:28:36'), Timestamp('2023-09-27 03:02:00'))"
1037619,Tim Roughgarden,Computer Science,Stanford University,School-953,17,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2009-10-14 22:06:19'), Timestamp('2024-04-28 12:52:49'))"
28392,Jack Rakove,History,Stanford University,School-953,15,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2004-07-05 14:36:16'), Timestamp('2023-12-14 06:18:28'))"
227578,Hong Zeng,Languages,Stanford University,School-953,15,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-07-06 16:28:32'), Timestamp('2016-10-04 05:32:41'))"
440100,Peter Michelson,Physics,Stanford University,School-953,14,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2005-01-06 02:51:29'), Timestamp('2018-12-14 23:02:20'))"
1894904,Jerry Batteh Batteh,Mathematics,Stanford University,School-953,14,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2014-04-26 09:13:45'), Timestamp('2019-06-08 18:28:07'))"
67582,Mike Tomz,Political Science,Stanford University,School-953,14,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2002-11-06 16:51:12'), Timestamp('2023-10-17 14:46:41'))"
874208,Giovanni Tempesta,Languages,Stanford University,School-953,14,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2006-08-11 00:46:05'), Timestamp('2022-03-11 15:33:42'))"
308694,Stephen Boyd,Engineering,Stanford University,School-953,14,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-12-03 21:22:11'), Timestamp('2014-02-03 16:44:37'))"
366784,Marcus Skinner,English,Stanford University,School-953,13,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2004-03-16 01:23:00'), Timestamp('2015-11-24 13:20:50'))"
641640,Mark Applebaum,Music,Stanford University,School-953,13,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2005-09-23 13:07:21'), Timestamp('2022-01-28 21:38:51'))"
1150635,Michelle Landis-Dauber,Law,Stanford University,School-953,13,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2016-06-06 17:35:06'), Timestamp('2022-12-05 08:31:25'))"
2023724,Russ Altman,Engineering,Stanford University,School-953,13,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2020-01-07 19:20:13'), Timestamp('2021-04-08 14:12:47'))"
242820,Ewart Thomas,Psychology,Stanford University,School-953,13,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2003-08-26 18:25:34'), Timestamp('2016-10-21 00:04:13'))"
2229740,Cynthia Lee,Computer Science,Stanford University,School-953,13,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2017-01-30 11:54:07'), Timestamp('2022-11-09 18:44:54'))"
424827,Sanjay Lall,Engineering,Stanford University,School-953,12,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2004-06-18 00:36:40'), Timestamp('2016-07-20 17:38:20'))"
578110,Marc Lucianovic,Mathematics,Stanford University,School-953,12,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2005-03-09 03:59:15'), Timestamp('2016-09-02 14:53:53'))"
2708733,Marius Wernig,Medicine,Stanford University,School-953,12,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2024-04-23 14:03:32'), Timestamp('2024-04-30 22:30:35'))"
661391,Abbas Milani,Political Science,Stanford University,School-953,12,RateMyProfAnalysis/T100Reviews/Universities/Stanford_University,"(Timestamp('2005-08-28 08:48:23'), Timestamp('2018-05-30 21:54:57'))"
