id,name,department,University,University_ID,reviews_count,file_location,date_range
2203667,Forrest Spence,Economics,University of Notre Dame,School-1576,82,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2016-12-05 21:18:17'), Timestamp('2025-01-04 03:08:29'))"
2640253,Slavi Sevov,Chemistry,University of Notre Dame,School-1576,64,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2020-12-09 04:46:14'), Timestamp('2025-01-16 16:54:01'))"
724219,Seth Brown,Chemistry,University of Notre Dame,School-1576,54,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2005-10-30 14:36:08'), Timestamp('2024-12-24 18:57:50'))"
2315894,Steven Wietstock,Chemistry,University of Notre Dame,School-1576,50,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2017-12-09 11:35:59'), Timestamp('2024-12-31 04:06:12'))"
2121481,Arthur Lim,Mathematics,University of Notre Dame,School-1576,53,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2016-03-29 10:38:37'), Timestamp('2025-01-26 23:06:22'))"
2512784,Kevin Grove,Theology,University of Notre Dame,School-1576,48,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2020-12-02 23:36:03'), Timestamp('2025-01-16 03:29:47'))"
1031217,Anre Venter,Psychology,University of Notre Dame,School-1576,46,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2007-09-21 14:38:24'), Timestamp('2025-01-11 00:55:34'))"
2032173,Eva Dziadula,Economics,University of Notre Dame,School-1576,47,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2015-11-10 11:36:36'), Timestamp('2025-01-11 03:13:30'))"
126605,Carl Ackermann,Finance,University of Notre Dame,School-1576,48,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2003-02-10 22:49:26'), Timestamp('2025-01-26 04:52:08'))"
2671106,Justin Christy,Philosophy,University of Notre Dame,School-1576,36,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2021-02-15 06:07:36'), Timestamp('2025-01-11 01:08:41'))"
742209,Kenneth Filchak,Biology,University of Notre Dame,School-1576,31,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2005-10-31 12:17:37'), Timestamp('2023-12-08 19:59:46'))"
1284285,Laurence Taylor,Mathematics,University of Notre Dame,School-1576,30,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2013-11-20 13:15:57'), Timestamp('2025-01-14 04:17:23'))"
2740108,Julie Kessler,Chemistry,University of Notre Dame,School-1576,32,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2021-11-19 16:09:44'), Timestamp('2025-01-18 05:43:19'))"
2428146,Patricia Vaughan,Biology,University of Notre Dame,School-1576,30,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2018-11-20 10:28:14'), Timestamp('2024-12-26 17:25:55'))"
2583989,Paul Blaschko,Philosophy,University of Notre Dame,School-1576,33,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2020-11-12 12:47:57'), Timestamp('2025-01-03 21:43:01'))"
2492437,Susan Del Valle,Chemistry,University of Notre Dame,School-1576,29,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2020-04-21 19:50:27'), Timestamp('2025-01-17 16:20:21'))"
1950699,Kirk Doran,Economics,University of Notre Dame,School-1576,26,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2016-03-02 16:37:25'), Timestamp('2024-11-26 21:32:45'))"
2075438,Susan Rosato,Political Science,University of Notre Dame,School-1576,26,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2015-12-02 17:52:16'), Timestamp('2024-12-14 19:41:38'))"
2536009,Michelle Whaley,Biological Sciences,University of Notre Dame,School-1576,23,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2019-11-11 02:38:44'), Timestamp('2025-01-07 12:29:34'))"
305478,Gabriel Radvansky,Psychology,University of Notre Dame,School-1576,26,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2003-12-01 18:46:10'), Timestamp('2025-01-07 12:45:56'))"
2001750,Christopher Cronin,Economics,University of Notre Dame,School-1576,21,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2015-04-16 14:58:46'), Timestamp('2024-06-05 08:29:58'))"
2029329,Anthony Pagliarini,Theology,University of Notre Dame,School-1576,27,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2016-07-19 13:26:25'), Timestamp('2025-01-04 02:32:50'))"
2781901,Cora Bennett,Economics,University of Notre Dame,School-1576,22,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2022-03-25 19:34:48'), Timestamp('2025-01-13 21:58:45'))"
1234776,Jeff Speaks,Philosophy,University of Notre Dame,School-1576,21,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2008-12-23 19:00:55'), Timestamp('2025-01-18 05:41:28'))"
1700931,David Hyde,Biology,University of Notre Dame,School-1576,21,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2012-10-03 16:25:14'), Timestamp('2025-01-07 13:16:48'))"
2867696,Shawn Miller,Chemistry,University of Notre Dame,School-1576,24,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2022-12-19 17:30:15'), Timestamp('2025-01-06 02:04:43'))"
2587615,Sarah West,Chemistry,University of Notre Dame,School-1576,20,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2020-04-21 19:41:35'), Timestamp('2024-12-26 21:06:09'))"
2226624,Molly Walsh,Mathematics,University of Notre Dame,School-1576,19,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2017-01-17 11:34:16'), Timestamp('2025-01-18 05:44:44'))"
2399334,Ian Gerdon,Theology,University of Notre Dame,School-1576,17,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2018-08-27 18:36:59'), Timestamp('2024-07-02 18:32:14'))"
2481485,David Squires,Philosophy,University of Notre Dame,School-1576,17,RateMyProfAnalysis/T100Reviews/Universities/University_of_Notre_Dame,"(Timestamp('2019-04-26 16:29:44'), Timestamp('2020-05-07 22:14:25'))"
