id,name,department,University,University_ID,reviews_count,file_location,date_range
813929,Al Filreis,English,University of Pennsylvania,School-1275,73,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2006-02-23 09:36:06'), Timestamp('2023-08-23 09:44:38'))"
2348670,Fatemeh Shams,Humanities,University of Pennsylvania,School-1275,35,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2018-09-05 18:05:35'), Timestamp('2025-01-03 03:55:46'))"
610504,Anthony J. Pietrovito,Chemistry,University of Pennsylvania,School-1275,32,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2005-05-02 16:30:08'), Timestamp('2022-10-27 01:56:31'))"
923578,Peter Davies,Engineering,University of Pennsylvania,School-1275,31,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2006-11-22 20:15:07'), Timestamp('2023-06-10 18:50:20'))"
2132145,Welton Chang,Psychology,University of Pennsylvania,School-1275,30,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2016-05-02 13:51:24'), Timestamp('2016-07-03 12:25:59'))"
154485,Rebecca Stein,Economics,University of Pennsylvania,School-1275,26,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2003-02-28 21:33:07'), Timestamp('2017-05-14 00:06:37'))"
2136965,Val Tannen,Computer Science,University of Pennsylvania,School-1275,27,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2018-04-10 04:29:52'), Timestamp('2025-01-12 15:00:09'))"
178182,Ed Crotty,Mathematics,University of Pennsylvania,School-1275,23,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2003-04-02 18:38:11'), Timestamp('2017-04-06 05:39:37'))"
336357,Peter Struck,Classics,University of Pennsylvania,School-1275,22,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2004-04-25 20:28:01'), Timestamp('2022-07-26 00:44:35'))"
131284,Gwen Eudey,Economics,University of Pennsylvania,School-1275,21,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2003-03-26 14:28:22'), Timestamp('2023-12-27 15:14:42'))"
6464,Yochanan Shachmurove,Economics,University of Pennsylvania,School-1275,21,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2001-04-24 00:58:19'), Timestamp('2020-05-19 22:18:24'))"
294522,Ania Loomba,English,University of Pennsylvania,School-1275,21,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2005-05-10 11:03:20'), Timestamp('2024-01-08 23:40:16'))"
862967,X Witmer,Biology,University of Pennsylvania,School-1275,20,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2006-07-02 22:53:45'), Timestamp('2023-12-01 05:39:21'))"
766730,Frank Pellicone,English,University of Pennsylvania,School-1275,20,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2005-12-02 00:40:43'), Timestamp('2018-03-22 15:48:20'))"
685129,Nedra Lexow,Biology,University of Pennsylvania,School-1275,19,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2006-04-04 01:59:01'), Timestamp('2017-12-13 08:19:29'))"
1515590,James Giles,Science,University of Pennsylvania,School-1275,19,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2011-04-22 15:28:59'), Timestamp('2013-01-09 16:54:48'))"
1158957,Nakia Rimmer,Mathematics,University of Pennsylvania,School-1275,19,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2008-04-07 12:28:29'), Timestamp('2023-10-17 01:38:32'))"
222545,Donald Voet,Chemistry,University of Pennsylvania,School-1275,19,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2003-07-01 00:38:30'), Timestamp('2009-09-17 02:47:06'))"
222553,William P. Dailey,Chemistry,University of Pennsylvania,School-1275,17,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2003-07-01 00:30:15'), Timestamp('2020-09-11 01:54:21'))"
508556,Janet Monge,Anthropology,University of Pennsylvania,School-1275,17,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2004-11-22 13:02:39'), Timestamp('2017-11-03 20:35:30'))"
127095,Jeremy McInerney,History,University of Pennsylvania,School-1275,17,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2003-02-11 18:10:22'), Timestamp('2017-06-26 16:31:39'))"
1298252,Michael Carchidi,Engineering,University of Pennsylvania,School-1275,15,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2009-06-25 14:25:09'), Timestamp('2023-11-03 05:11:00'))"
262854,Uri Spiegel,Economics,University of Pennsylvania,School-1275,14,RateMyProfAnalysis/T100Reviews/Universities/University_of_Pennsylvania,"(Timestamp('2003-10-16 18:52:15'), Timestamp('2016-02-25 02:02:05'))"
