id,name,department,University,University_ID,reviews_count,file_location,date_range
2404072,Dinny Aletheiani,East Asian Studies,Yale University,School-1222,77,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2019-05-06 22:25:56'), Timestamp('2020-09-13 03:06:36'))"
692839,Marc Lapadula,Film,Yale University,School-1222,33,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2009-12-06 01:31:05'), Timestamp('2025-01-19 09:45:15'))"
136044,Shelly Kagan,Philosophy,Yale University,School-1222,29,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2003-02-19 18:01:36'), Timestamp('2018-07-27 21:51:43'))"
1456235,Ramamurti Shankar,Physics,Yale University,School-1222,29,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2012-08-14 08:14:09'), Timestamp('2020-08-17 21:43:18'))"
133932,Paul Bloom,Psychology,Yale University,School-1222,23,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2003-03-01 03:30:33'), Timestamp('2024-12-20 07:39:35'))"
202334,Narasimhan Ganapathi,Chemistry,Yale University,School-1222,20,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2003-05-01 16:07:42'), Timestamp('2022-04-26 20:22:15'))"
949784,Karen Von Kunes,Slavic Languages & Literatures,Yale University,School-1222,20,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2007-01-19 16:39:01'), Timestamp('2021-07-22 02:32:15'))"
138944,Iona Black,Science,Yale University,School-1222,19,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2003-02-19 17:52:21'), Timestamp('2012-07-25 18:54:22'))"
1248370,Michael Boozer,Economics,Yale University,School-1222,18,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2009-01-21 19:41:53'), Timestamp('2023-12-19 22:06:15'))"
747963,Joanne Freeman,History,Yale University,School-1222,16,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2005-11-17 16:11:22'), Timestamp('2019-05-29 03:37:02'))"
63747,Brian Scholl,Psychology,Yale University,School-1222,15,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2003-02-02 19:01:31'), Timestamp('2024-02-09 18:48:58'))"
961552,Shinik Hahm,Music,Yale University,School-1222,14,RateMyProfAnalysis/T100Reviews/Universities/Yale_University,"(Timestamp('2008-05-03 01:04:02'), Timestamp('2013-12-15 14:47:41'))"
