id,name,department,total_reviews_count,average_quality_rating,average_difficulty_rating,classes_taught,class_map
203815,John Bickford,Psychology,449,4.077951002227172,2.0311804008908685,"['PSYCH100', 'PSYCH370', '100', 'PSCYH100', 'PERSONALITY', 'PSY370', 'PYSCH100', 'PSY360', 'PSYCH360', 'PSY100', 'PSYCH391', 'INTROTOPSYCH', 'PHSYC100', 'PSYCH391ZZ', 'PSYC370', 'PYSCH370', 'PSYCH380', 'PSYC100', 'PSYCH270', '370', '14437', 'PSYCH100360', 'PSYCH100370', 'SOCIALPSYCH', 'PSYCH101', 'PSYCH360370', 'PERS1', 'PSY1', 'PSYCHINTR', 'PSYCHOLOGY100', 'PSYCH355', 'PSYCHOLOGY370', 'PSYCTAP100', 'SOCPSYCH', 'PSYCH240']","{""100"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH100"", ""100"", ""PSCYH100"", ""PYSCH100"", ""PSY100"", ""PHSYC100"", ""PSYC100"", ""PSYCHOLOGY100"", ""PSYCTAP100"", ""PSYCH100360"", ""PSYCH100370""]}, ""370"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH370"", ""PSY370"", ""PSYC370"", ""PYSCH370"", ""370"", ""PSYCHOLOGY370"", ""PSYCH100370"", ""PSYCH360370""]}, ""360"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSY360"", ""PSYCH360"", ""PSYCH100360"", ""PSYCH360370""]}, ""391"": {""prefix"": ""PSYCH"", ""suffix"": ""ZZ"", ""labels"": [""PSYCH391"", ""PSYCH391ZZ""]}, ""380"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH380""]}, ""270"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH270""]}, ""101"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH101""]}, ""355"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH355""]}, ""240"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH240""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""PERSONALITY"", ""INTROTOPSYCH"", ""SOCIALPSYCH"", ""PSYCHINTR"", ""SOCPSYCH"", ""PERS1"", ""PSY1"", ""PSYCH100360"", ""PSYCH100370"", ""PSYCH360370""]}}"
77120,Randall Phillis,Biology,388,3.920103092783505,3.2989690721649483,"['BIO151', '151', '100', 'BIOLOGY151', 'BIO484', '101', 'INTROBIO151', 'BIO105', 'BIO190H', 'BIOL190H', 'BIO597A', 'BIO101', 'BIO100', 'BIO197Q', 'BIOL100', 'BIOLOGY100', 'BIOLOGY', 'BIO', 'BIO283', 'ADVCELLB', 'BIO100L']","{""151"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO151"", ""151"", ""BIOLOGY151"", ""INTROBIO151""]}, ""100"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""100"", ""BIO100"", ""BIOL100"", ""BIOLOGY100"", ""BIO100L""]}, ""484"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO484""]}, ""101"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""101"", ""BIO101""]}, ""105"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO105""]}, ""190"": {""prefix"": ""BIO"", ""suffix"": ""H"", ""labels"": [""BIO190H"", ""BIOL190H""]}, ""597"": {""prefix"": ""BIO"", ""suffix"": ""A"", ""labels"": [""BIO597A""]}, ""197"": {""prefix"": ""BIO"", ""suffix"": ""Q"", ""labels"": [""BIO197Q""]}, ""283"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO283""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""BIOLOGY"", ""BIO"", ""ADVCELLB""]}}"
1621419,Laura Francis,Biology,370,2.6594594594594594,4.0,"['161H', 'BIO151', '285', 'BIO285', '151', 'BIO191', 'BIO151285', 'BI285', '291AH', 'BIOC', 'BIOB', 'BIO161H', 'BIO161', 'BIO190H', 'BIO285H', 'LABBIO151H', 'BIOL100', 'BIO100', 'BIO152', 'BIO101', 'BIO2', 'BIOLAB', 'BIOBIO']","{""161"": {""prefix"": ""BIO"", ""suffix"": ""H"", ""labels"": [""161H"", ""BIO161H"", ""BIO161""]}, ""151"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO151"", ""151"", ""LABBIO151H"", ""BIO151285""]}, ""285"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""285"", ""BIO285"", ""BI285"", ""BIO285H"", ""BIO151285""]}, ""191"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO191""]}, ""291"": {""prefix"": """", ""suffix"": ""HA"", ""labels"": [""291AH""]}, ""190"": {""prefix"": ""BIO"", ""suffix"": ""H"", ""labels"": [""BIO190H""]}, ""100"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIOL100"", ""BIO100""]}, ""152"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO152""]}, ""101"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO101""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""BIOC"", ""BIOB"", ""BIOLAB"", ""BIOBIO"", ""BIO2"", ""BIO151285""]}}"
192549,Joanna Jeneralczuk,Mathematics,323,3.780185758513932,3.1424148606811144,"['STAT240', 'STAT501', 'STAT515', '240', 'STATS501', 'STATS240', 'STAT240ONLINE', '20848SOCIOL212', 'STATISTC240', 'STATS515', 'MATH240', 'CALC131', 'ALS101', 'MATH131', 'STATS597S', 'MATH397A', 'STATI240', 'MATH102', 'STAT240501', 'STAT140', 'STATS140']","{""240"": {""prefix"": ""STAT"", ""suffix"": """", ""labels"": [""STAT240"", ""240"", ""STATS240"", ""STAT240ONLINE"", ""STATISTC240"", ""MATH240"", ""STATI240"", ""STAT240501""]}, ""501"": {""prefix"": ""STAT"", ""suffix"": """", ""labels"": [""STAT501"", ""STATS501"", ""STAT240501""]}, ""515"": {""prefix"": ""STAT"", ""suffix"": """", ""labels"": [""STAT515"", ""STATS515""]}, ""131"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""CALC131"", ""MATH131""]}, ""101"": {""prefix"": ""ALS"", ""suffix"": """", ""labels"": [""ALS101""]}, ""597"": {""prefix"": ""STATS"", ""suffix"": ""S"", ""labels"": [""STATS597S""]}, ""397"": {""prefix"": ""MATH"", ""suffix"": ""A"", ""labels"": [""MATH397A""]}, ""102"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""MATH102""]}, ""140"": {""prefix"": ""STAT"", ""suffix"": """", ""labels"": [""STAT140"", ""STATS140""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""STAT240501""]}}"
1617241,Chris McDaniel,Chemistry,298,2.104026845637584,4.342281879194631,"['CHEM269', 'CHEM261', 'CHEM266', 'CHEM262', 'CHEM265', 'CHEM267', 'ORGOLAB', 'CHEM112', 'ORGO261', 'CHEM261CHEM269', 'CHEM261CHEM262C', '261', 'CHEM261262', 'CHEM265AND266', 'CHEM250', 'CHEM162', 'MATH132', 'MATH235', '100', 'MATH100']","{""269"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM269"", ""CHEM261CHEM269""]}, ""261"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM261"", ""ORGO261"", ""261"", ""CHEM261CHEM269"", ""CHEM261CHEM262C"", ""CHEM261262""]}, ""266"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM266"", ""CHEM265AND266""]}, ""262"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM262"", ""CHEM261CHEM262C"", ""CHEM261262""]}, ""265"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM265"", ""CHEM265AND266""]}, ""267"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM267""]}, ""112"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM112""]}, ""250"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM250""]}, ""162"": {""prefix"": ""CHEM"", ""suffix"": """", ""labels"": [""CHEM162""]}, ""132"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""MATH132""]}, ""235"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""MATH235""]}, ""100"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""100"", ""MATH100""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""ORGOLAB"", ""CHEM261CHEM269"", ""CHEM261CHEM262C"", ""CHEM261262"", ""CHEM265AND266""]}}"
47704,Sut Jhally,Communication,280,4.096428571428572,2.6142857142857143,"['COM', '288', 'COMM288', 'COMM289', '287', 'COMM386', '287387ONLINE', 'COMM297RR', 'COM287', 'COMM287', 'COM121287387', 'COMM286', 'COMM297', '103ECD', 'COM121', '387', 'COMM387', 'COMM2987', 'COMM8788', 'COMM01', 'ALLALL', 'COMM273', 'COMM297X', 'COMMSECT', 'COM387', 'COMM121287387', '375', '121287387', 'COMM', 'COMM287387', 'ADVERTISING', 'MANY', 'COMM121', 'SOC', 'COMM387ONLINE', 'COMM121287', 'COMM287121', '121287', '121', 'COMM116', 'COMM397', 'COMM1212']","{""288"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""288"", ""COMM288""]}, ""289"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM289""]}, ""287"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""287"", ""COM287"", ""COMM287"", ""287387ONLINE"", ""COM121287387"", ""COMM121287387"", ""121287387"", ""COMM287387"", ""COMM121287"", ""COMM287121"", ""121287""]}, ""386"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM386""]}, ""297"": {""prefix"": ""COMM"", ""suffix"": ""X"", ""labels"": [""COMM297RR"", ""COMM297"", ""COMM297X""]}, ""286"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM286""]}, ""103"": {""prefix"": ""Communication"", ""suffix"": """", ""labels"": [""103ECD"", ""COMM01""]}, ""121"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COM121"", ""COMM121"", ""121"", ""COM121287387"", ""COMM121287387"", ""121287387"", ""COMM121287"", ""COMM287121"", ""121287""]}, ""387"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""387"", ""COMM387"", ""COM387"", ""COMM387ONLINE"", ""287387ONLINE"", ""COM121287387"", ""COMM121287387"", ""121287387"", ""COMM287387""]}, ""273"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM273""]}, ""375"": {""prefix"": """", ""suffix"": """", ""labels"": [""375""]}, ""116"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM116""]}, ""397"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM397""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""COM"", ""ALLALL"", ""COMMSECT"", ""COMM"", ""ADVERTISING"", ""MANY"", ""SOC"", ""287387ONLINE"", ""COM121287387"", ""COMM121287387"", ""121287387"", ""COMM287387"", ""COMM121287"", ""COMM287121"", ""121287""]}}"
887526,Catherine Benincasa,Mathematics,265,4.203773584905661,2.7169811320754715,"['MATH132', 'CALC131', 'MATH131', 'MATH104', 'MAT127', 'MATH102', 'MATH1104', '127', 'MATH127', 'CALC127', 'CALC128', '111314', 'MATH1', 'MATH01', 'MTH104', 'MATHL02', 'AABBA01', 'MATH121', 'PRECA127', 'MATHSECT', 'MATH3920']","{""132"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""MATH132""]}, ""131"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""CALC131"", ""MATH131""]}, ""104"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""MATH104"", ""MTH104""]}, ""127"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""MAT127"", ""127"", ""MATH127"", ""CALC127"", ""PRECA127""]}, ""102"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""MATH102"", ""MATHL02""]}, ""128"": {""prefix"": ""CALC"", ""suffix"": """", ""labels"": [""CALC128""]}, ""121"": {""prefix"": ""MATH"", ""suffix"": """", ""labels"": [""MATH121""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""MATHSECT"", ""MATH1"", ""MATH01"", ""AABBA01"", ""111314"", ""111314"", ""111314""]}}"
837070,Catherine Lowry,Accounting,261,3.4827586206896552,3.624521072796935,"['ACCOUNTNG233', 'MGMT607', 'ACC371', 'ACC221', 'ACCOUNTING221', 'ACCOUNTG221', 'ACCOUNT221', '697TX', 'ACC222', 'ACCT221', 'ACCNG221', 'ACT221', '221', 'ACCTG221', 'ACCT331', 'ACCT222', 'AA', 'ACCOU221', 'ACCNT222', 'HTM370', 'ACG222']","{""233"": {""prefix"": ""ACCOUNTNG"", ""suffix"": """", ""labels"": [""ACCOUNTNG233""]}, ""607"": {""prefix"": ""MGMT"", ""suffix"": """", ""labels"": [""MGMT607""]}, ""371"": {""prefix"": ""ACC"", ""suffix"": """", ""labels"": [""ACC371""]}, ""221"": {""prefix"": ""ACCT"", ""suffix"": """", ""labels"": [""ACC221"", ""ACCOUNTING221"", ""ACCOUNTG221"", ""ACCOUNT221"", ""ACCT221"", ""ACCNG221"", ""ACT221"", ""221"", ""ACCTG221"", ""ACCOU221""]}, ""697"": {""prefix"": """", ""suffix"": ""XT"", ""labels"": [""697TX""]}, ""222"": {""prefix"": ""ACCT"", ""suffix"": """", ""labels"": [""ACC222"", ""ACCT222"", ""ACCNT222"", ""ACG222""]}, ""331"": {""prefix"": ""ACCT"", ""suffix"": """", ""labels"": [""ACCT331""]}, ""370"": {""prefix"": ""HTM"", ""suffix"": """", ""labels"": [""HTM370""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""AA""]}}"
1918813,Caleb Rounds,Biology,269,3.5353159851301115,3.6059479553903344,"['BIO152', 'BIOLOGY151', 'BIO151', 'BIOLOGY285', 'BIO285', 'BIO161H', 'BIO152BIO285', '151', 'BIOLOGY152', 'BIO161', 'BIO153']","{""152"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO152"", ""BIOLOGY152"", ""BIO152BIO285""]}, ""151"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIOLOGY151"", ""BIO151"", ""151""]}, ""285"": {""prefix"": ""BIOLOGY"", ""suffix"": """", ""labels"": [""BIOLOGY285"", ""BIO285"", ""BIO152BIO285""]}, ""161"": {""prefix"": ""BIO"", ""suffix"": ""H"", ""labels"": [""BIO161H"", ""BIO161""]}, ""153"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO153""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""BIO152BIO285""]}}"
2385263,Albert Assaf,Hospitality & Tourism,257,4.98443579766537,2.700389105058366,"['SCHMGMT644', 'MGMT650', 'MGMT644', 'SCHMGMT650', 'HTM317']","{""644"": {""prefix"": ""SCHMGMT"", ""suffix"": """", ""labels"": [""SCHMGMT644"", ""MGMT644""]}, ""650"": {""prefix"": ""MGMT"", ""suffix"": """", ""labels"": [""MGMT650"", ""SCHMGMT650""]}, ""317"": {""prefix"": ""HTM"", ""suffix"": """", ""labels"": [""HTM317""]}}"
